plot,richness,diversity,evenness,canopysp,block
hial1,52,5.787425248,0.443914123,hial,1
hial2,45,1.784220862,0.152035094,hial,2
hial3,41,7.202415953,0.529510498,hial,3
hial4,51,11.54448419,0.620887592,hial,4
pema1,28,1.960506039,0.20171101,pema,1
pema2,36,7.901437521,0.575651531,pema,2
pema3,22,1.233019018,0.06767498,pema,3
pema4,41,2.032060473,0.190730079,pema,4
viko1,48,4.584823375,0.392759127,viko,1
viko2,49,2.95091149,0.277805685,viko,2
viko3,45,3.926621463,0.358995129,viko,3
viko4,41,6.293550164,0.493964865,viko,4
vogu2,45,5.732813698,0.457434174,vogu,2
vogu3,46,17.43160238,0.7447663,vogu,3
vogu4,51,12.9923684,0.649515278,vogu,4
