"trap","adelobotrys adscendens","alchorneopsis floribunda","annona papilionella","apeiba membranacea","aristolochia sprucei","asterogyne martiana","bertiera guianensis","bignonia binata","brosimun lactescens","bursera simaruba","byrsonima crassifolia","casearia arborea","cecropia insignis","cecropia obtusifolia","cespedesia spathulata","cestrum schlechtendalii","clethra sp","clidemia crenulata","clidemia densiflora","clidemia dentata","clidemia discolor","clidemia japurensis","conostegia subcrustulata","conostegia xalapensis","cordia alliodora","cordia bicolor","davilla nitida","dendropanax arboreus","doliocarpus multiflorus","euterpe precatoria","ficus colubrinae","ficus donell-smithi","ficus insipida","ficus nymphaefolia","ficus pertusa","ficus sp","ficus sp2","Forsteronia myriantha","goethalsia meiantha","gouania polygama","guatteria aeruginosa","guatteria amplifolia","guatteria recurvisepala","hamelia xerocarpa","hampea appendiculata","heisteria scandens","heterocondylus vitalbae","iriartea deltoidea","jacaranda copaia","laetia procera","lauraceae","leandra granatensis","leandra longicoma","luehea seemannii","mandevilla hirsuta","mendoncia tonduzii","miconia affinis","miconia approximata","miconia elata","miconia lacera","miconia ligulata","miconia multispicata","miconia nervosa","miconia prasina","miconia stevensiana","myrcia splendens","nectandra membranacea","neea laetevirens","palicourea guianensis","paullinia cf. fasciculata","paullinia granatensis","paullinia ingifolia","piper aduncum","piper arcteacuminatum","piper auritifolium","piper auritum","piper colonense","piper melanocladum","piper multiplinervium","piper peltatum","piper sancti-felicis","piper schiedeanum","piper sp","piper trigonum","piptocarpha poeppigiana","prestoea decurrens","protium sp","psychotria brachiata","psychotria chiapensis","psychotria gracilenta","psychotria luxurians","psychotria marginata","psychotria panamensis","psychotria poeppigiana","psychotria sp","rollinia pittierii","rubiaceae","sabicea panamensis","sabicea villosa","schefflera nicaraguensis","schlegelia fastigiata","senna papillosa","serjania mexicana","serjania pyramidata","simarouba amara","siparuna grandiflora","siparuna paucifolia","siparuna thecaphora","smilax officinalis","solanum rugosum","solanum volubile","talauma gloriensis","tetrapterys sp","urera caracasana","virola sebifera","vismia baccifera","vismia billbergiana","vismia macrophylla","vochysia ferruginea","warszewiczia coccinea","witheringia asterotricha","xylopia sericophylla","zanthoxylum panamense"
1,0,4,0,0,0,0,0,0,0,0,0,0,19,40,0,0,0,0,14,2,0,0,0,0,0,0,127,0,0,0,0,0,20,149,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,24,0,7,384,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,9,0,0,0,2,0,410,0,0,0,0,0,0,0,0,0,0,2,1,1,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,8,1,0,0,0,2,0
2,0,6,0,2,0,0,0,0,0,0,0,0,7,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,141,1,15,1,1,3210,0,0,0,0,1,0,0,0,0,0,3,1,0,6,116,0,92,0,6,0,24,10,41,0,0,2,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,1,2,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0
4,0,3,0,0,0,0,0,0,0,0,0,0,27,119,0,3,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,106,0,0,4,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,16,0,4,285,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3818,0,15,0,0,0,4,0,86,0,0,0,0,0,0,0,0,0,2,0,1,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,11,31,87,0,0,0,0,1,36,0,1,0,0,1,0,1,0,0,0,1,0,26,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,36,0,5,1,46,147,1,0,0,0,0,0,0,0,0,0,2,0,0,0,542,0,36,0,1,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,28,9,95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,43,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,9,0,0,11,0,12,0,2,0,2,44,0,0,0,0,0,0,0,0,0,0,12,0,0,1,2267,0,15,0,9,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,1,0,0,0,0,0
9,0,2,0,0,1,0,0,0,0,0,0,0,15,209,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,90,0,1,0,4,64,0,0,0,0,0,0,0,0,0,0,13,0,0,15,1690,0,47,65,18,0,2,0,121,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,34,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,0,0,0,0,0,0
