"","week","date","trap","sample","canopysp","block","quad","type","species","fruitnum","seednum","poop","damaged","obs"
"1",1,2014-01-20,1,1,"Hial",1,"A","Fruto","Hieronyma alchorneiodes",1,1,NA,NA,NA
"2",1,2014-01-20,1,2,"Hial",1,"A","Fruto","Miconia multispicata",1,15,NA,NA,NA
"3",1,2014-01-20,2,1,"Hial",1,"B","Semilla","Psychotria elata",0,1,NA,NA,NA
"4",1,2014-01-20,3,1,"Hial",1,"B",NA,NA,0,0,NA,NA,"Nada"
"5",1,2014-01-20,4,1,"Hial",1,"B",NA,NA,0,0,NA,NA,"Hubo un error de ubicación. Por lo tanto no se recogió nada"
"6",1,2014-01-20,5,1,"Hial",1,"B",NA,NA,0,0,NA,NA,"Nada"
"7",1,2014-01-20,9,1,"Viko",1,"D",NA,NA,0,0,NA,NA,NA
"8",1,2014-01-20,10,1,"Viko",1,"B",NA,NA,0,0,NA,NA,NA
"9",1,2014-01-20,11,1,"Pema",1,"A",NA,NA,0,0,NA,NA,NA
"10",1,2014-01-20,12,1,"Pema",1,"B",NA,NA,0,0,NA,NA,NA
"11",1,2014-01-20,13,1,"Pema",1,"C",NA,NA,0,0,NA,NA,NA
"12",1,2014-01-20,14,1,"Pema",1,"D",NA,NA,0,0,NA,NA,NA
"13",1,2014-01-20,15,1,"Pema",1,"D",NA,NA,0,0,NA,NA,NA
"14",1,2014-01-20,16,1,"Hial",2,"A","Semilla","Psychotria elata",0,1,NA,NA,NA
"15",1,2014-01-20,17,1,"Hial",2,"B",NA,NA,0,0,NA,NA,"Nada"
"16",1,2014-01-20,18,1,"Hial",2,"C","Fruto","Hieronyma alchorneiodes",2,2,NA,NA,NA
"17",1,2014-01-20,19,1,"Hial",2,"D","Semilla","Philodendron radiatum",0,12,NA,NA,"Semillas con pedazos de pulpa"
"18",1,2014-01-20,19,2,"Hial",2,"D","Fruto","Miconia affinis",2,46,NA,NA,NA
"19",1,2014-01-20,19,3,"Hial",2,"D","Semilla","Guatteria recurvisepala",0,8,NA,NA,NA
"20",1,2014-01-20,20,1,"Hial",2,"D",NA,NA,0,0,NA,NA,NA
"21",1,2014-01-20,21,1,"Viko",2,"A",NA,NA,0,0,NA,NA,"Nada"
"22",1,2014-01-20,22,1,"Viko",2,"B","Fruto","Miconia multispicata",4,91,NA,NA,NA
"23",1,2014-01-20,23,1,"Viko",2,"C","Semilla","Smilax domingensis",0,1,"Ave",NA,"Con dudas"
"24",1,2014-01-20,23,2,"Viko",2,"C","Semilla","Muestra 21",0,16,"Ave",NA,"Con dudas"
"25",1,2014-01-20,23,3,"Viko",2,"C","Semilla","Guatteria amplifolia",0,1,NA,NA,NA
"26",1,2014-01-20,24,1,"Viko",2,"D",NA,NA,0,0,NA,NA,"Nada"
"27",1,2014-01-20,25,1,"Viko",2,"B",NA,NA,0,0,NA,NA,"Nada"
"28",1,2014-01-20,26,1,"Pema",2,"A",NA,NA,0,0,NA,NA,NA
"29",1,2014-01-20,27,1,"Pema",2,"B",NA,NA,0,0,NA,NA,NA
"30",1,2014-01-20,28,1,"Pema",2,"C",NA,NA,0,0,NA,NA,"Nada"
"31",1,2014-01-20,29,1,"Pema",2,"D",NA,NA,0,0,NA,NA,NA
"32",1,2014-01-20,30,1,"Pema",2,"C",NA,NA,0,0,NA,NA,NA
"33",1,2014-01-20,31,1,"Vogu",2,"A",NA,NA,0,0,NA,NA,"Nada"
"34",1,2014-01-20,32,1,"Vogu",2,"B",NA,NA,0,0,NA,NA,"Nada"
"35",1,2014-01-20,34,1,"Vogu",2,"D",NA,NA,0,0,NA,NA,"Nada"
"36",1,2014-01-20,35,1,"Vogu",2,"A",NA,NA,0,0,NA,NA,"Nada"
"37",1,2014-01-21,36,1,"Hial",3,"A","Semilla","Guatteria recurvisepala",0,1,NA,NA,NA
"38",1,2014-01-21,36,3,"Hial",3,"A","Semilla","Hieronyma alchorneiodes",1,1,NA,NA,NA
"39",1,2014-01-21,37,1,"Hial",3,"B","Fruto","Hieronyma alchorneiodes",7,7,NA,NA,NA
"40",1,2014-01-21,38,1,"Hial",3,"C",NA,NA,0,0,NA,NA,"Nada"
"41",1,2014-01-21,39,1,"Hial",3,"D",NA,NA,0,0,NA,NA,"Nada"
"42",1,2014-01-21,40,1,"Hial",3,"B","Fruto","Hieronyma alchorneiodes",1,1,NA,NA,NA
"43",1,2014-01-21,41,1,"Viko",3,"A",NA,NA,0,0,NA,NA,NA
"44",1,2014-01-21,43,1,"Viko",3,"C",NA,NA,0,0,NA,NA,"Nada"
"45",1,2014-01-21,44,1,"Viko",3,"D",NA,NA,0,0,NA,NA,"Nada"
"46",1,2014-01-21,45,1,"Viko",3,"A",NA,NA,0,0,NA,NA,"Nada"
"47",1,2014-01-21,46,1,"Pema",3,"A",NA,NA,0,0,NA,NA,"Nada"
"48",1,2014-01-21,48,1,"Pema",3,"C",NA,NA,0,0,NA,NA,"Nada"
"49",1,2014-01-21,49,1,"Pema",3,"D",NA,NA,0,0,NA,NA,"Nada"
"50",1,2014-01-21,51,1,"Vogu",3,"A",NA,NA,0,0,NA,NA,"Nada"
"51",1,2014-01-21,52,1,"Vogu",3,"B",NA,NA,0,0,NA,NA,"Flor amarilla"
"52",1,2014-01-21,53,1,"Vogu",3,"C",NA,NA,0,0,NA,NA,"Nada"
"53",1,2014-01-21,54,1,"Vogu",3,"D",NA,NA,0,0,NA,NA,NA
"54",1,2014-01-21,55,1,"Vogu",3,"C","Semilla","Smilax domingensis",0,1,NA,NA,"Pelotita dura amarillaneta"
"55",1,2014-01-21,56,1,"Hial",4,"A","Semilla","Guatteria recurvisepala",0,1,NA,NA,NA
"56",1,2014-01-21,57,1,"Hial",4,"B",NA,NA,0,0,NA,NA,"Nada"
"57",1,2014-01-21,58,1,"Hial",4,"C",NA,NA,0,0,NA,NA,"Nada"
"58",1,2014-01-21,60,1,"Hial",4,"C",NA,NA,0,0,NA,NA,"Nada"
"59",1,2014-01-21,61,1,"Viko",4,"A",NA,NA,0,0,NA,NA,NA
"60",1,2014-01-21,62,1,"Viko",4,"B",NA,NA,0,0,NA,NA,"Nada"
"61",1,2014-01-21,63,1,"Viko",4,"C",NA,NA,0,0,NA,NA,"Nada"
"62",1,2014-01-21,64,1,"Viko",4,"D","Semilla","Virola koschnyi",0,1,NA,NA,NA
"63",1,2014-01-21,65,1,"Viko",4,"A","Semilla","Muestra 22",0,1,NA,NA,NA
"64",1,2014-01-21,66,1,"Pema",4,"A","Semilla","Guatteria recurvisepala",2,2,NA,NA,NA
"65",1,2014-01-21,67,1,"Pema",4,"B","Semilla","Muestra 23",0,1,NA,NA,NA
"66",1,2014-01-21,67,2,"Pema",4,"B","Semilla","Smilax officinalis",0,1,NA,NA,NA
"67",1,2014-01-21,68,1,"Pema",4,"C",NA,NA,0,0,NA,NA,"Nada"
"68",1,2014-01-21,69,1,"Pema",4,"D",NA,NA,0,0,NA,NA,NA
"69",1,2014-01-21,70,1,"Pema",4,"A",NA,NA,0,0,NA,NA,"Nada"
"70",1,2014-01-21,71,1,"Vogu",4,"A",NA,NA,0,0,NA,NA,"Nada"
"71",1,2014-01-21,72,1,"Vogu",4,"B",NA,NA,0,0,NA,NA,"Nada"
"72",1,2014-01-21,73,1,"Vogu",4,"C",NA,NA,0,0,NA,NA,"Nada"
"73",1,2014-01-21,74,1,"Vogu",4,"D",NA,NA,0,0,NA,NA,"3 bases de flor y 15 pétalos"
"74",1,2014-01-21,75,1,"Vogu",4,"D",NA,NA,0,0,NA,NA,"Un sólo petalo"
"75",2,2014-01-27,1,1,"Hial",1,"A","Fruto","Hieronyma alchorneiodes",2,2,NA,NA,NA
